Ra-226	934	7.14	11	0	5	1.059347181	0.310434783	8.925	1.741463415	0.898113208	0.33364486	0.189893617	0.154880694	0.820689655	4.606451613	1	0.406837607	1.151612903	0.868613139	0.390163934	1.405511811	4.08
Ra-226	1115.3	17.55	12	1	5	2.603857567	0.763043478	21.9375	4.280487805	2.20754717	0.820093458	0.466755319	0.380694143	2.017241379	11.32258065	2.457983193	1	2.830645161	2.135036496	0.959016393	3.454724409	10.02857143
Ra-226	1235	6.2	13	0	5	0.919881306	0.269565217	7.75	1.512195122	0.779874214	0.289719626	0.164893617	0.134490239	0.712643678	4	0.868347339	0.353276353	1	0.754257908	0.338797814	1.220472441	3.542857143
Ra-226	1390	8.22	14	0	5	1.21958457	0.357391304	10.275	2.004878049	1.033962264	0.38411215	0.218617021	0.178308026	0.944827586	5.303225806	1.151260504	0.468376068	1.325806452	1	0.449180328	1.618110236	4.697142857
Ra-226	1759.4	18.3	15	1	5	2.715133531	0.795652174	22.875	4.463414634	2.301886792	0.855140187	0.486702128	0.396963124	2.103448276	11.80645161	2.56302521	1.042735043	2.951612903	2.226277372	1	3.602362205	10.45714286
Ra-226	2204	5.08	16	0	5	0.753709199	0.220869565	6.35	1.23902439	0.638993711	0.237383178	0.135106383	0.110195228	0.583908046	3.277419355	0.711484594	0.289458689	0.819354839	0.618004866	0.277595628	1	2.902857143
Ra-226	2443	1.75	17	0	5	0.259643917	0.076086957	2.1875	0.426829268	0.220125786	0.081775701	0.046542553	0.037960954	0.201149425	1.129032258	0.245098039	0.0997151	0.282258065	0.212895377	0.095628415	0.344488189	1
Sn-113	255.1	2.11	1	0	1	1	0.032461538															
Sn-113	391.7	65	2	1	1	30.8056872	1															
Tc-99m	18.7	7.32	1	0	1	1	0.082154882															
Tc-99m	140.51	89.1	2	1	1	12.17213115	1															
Th-228	84	34.6	1	1	5	1	14.29752066	28.83333333	0.729957806	6.038394415	2.023391813	16.7961165	188.0434783	3.887640449	1.149501661	5.103244838	11.12540193	4.402035623	0.979614949			
Th-228	129.1	2.42	2	0	5	0.069942197	1	2.016666667	0.051054852	0.422338569	0.141520468	1.174757282	13.15217391	0.271910112	0.080398671	0.356932153	0.778135048	0.307888041	0.068516421			
Th-228	151.7	1.2	3	0	5	0.034682081	0.495867769	1	0.025316456	0.209424084	0.070175439	0.582524272	6.52173913	0.134831461	0.03986711	0.17699115	0.38585209	0.152671756	0.033975085			
Th-228	238.8	47.4	4	1	5	1.369942197	19.58677686	39.5	1	8.272251309	2.771929825	23.00970874	257.6086957	5.325842697	1.574750831	6.991150442	15.24115756	6.030534351	1.342015855			
Th-228	273.1	5.73	5	0	5	0.165606936	2.367768595	4.775	0.120886076	1	0.335087719	2.781553398	31.14130435	0.643820225	0.190365449	0.845132743	1.84244373	0.729007634	0.162231031			
Th-228	345	17.1	6	0	5	0.494219653	7.066115702	14.25	0.360759494	2.984293194	1	8.300970874	92.93478261	1.921348315	0.568106312	2.522123894	5.498392283	2.175572519	0.48414496			
Th-228	410	2.06	7	0	5	0.059537572	0.851239669	1.716666667	0.043459916	0.359511344	0.120467836	1	11.19565217	0.231460674	0.068438538	0.303834808	0.662379421	0.262086514	0.058323896			
Th-228	443.7	0.184	8	0	5	0.005317919	0.076033058	0.153333333	0.003881857	0.032111693	0.010760234	0.089320388	1	0.020674157	0.006112957	0.027138643	0.059163987	0.023409669	0.005209513			
Th-228	511	8.9	9	0	5	0.257225434	3.67768595	7.416666667	0.187763713	1.553228621	0.520467836	4.32038835	48.36956522	1	0.295681063	1.312684366	2.861736334	1.132315522	0.25198188			
Th-228	583.2	30.1	10	1	5	0.869942197	12.43801653	25.08333333	0.635021097	5.253054101	1.760233918	14.61165049	163.5869565	3.382022472	1	4.439528024	9.678456592	3.829516539	0.852208381			
Th-228	727.3	6.78	11	0	5	0.195953757	2.801652893	5.65	0.143037975	1.183246073	0.396491228	3.291262136	36.84782609	0.761797753	0.225249169	1	2.180064309	0.86259542	0.19195923			
Th-228	836	3.11	12	0	5	0.089884393	1.285123967	2.591666667	0.065611814	0.542757417	0.181871345	1.509708738	16.90217391	0.349438202	0.103322259	0.458702065	1	0.3956743	0.088052095			
Th-228	1596	7.86	13	1	5	0.22716763	3.247933884	6.55	0.165822785	1.371727749	0.459649123	3.815533981	42.7173913	0.883146067	0.261129568	1.159292035	2.52733119	1	0.222536806			
Th-228	2614.5	35.32	14	1	5	1.020809249	14.59504132	29.43333333	0.745147679	6.164048866	2.065497076	17.14563107	191.9565217	3.968539326	1.173421927	5.209439528	11.35691318	4.493638677	1			
Tl-201	72.3	94.1	1	1	2	1	36.61478599	9.261811024														
Tl-201	135.3	2.57	2	0	2	0.027311371	1	0.252952756														
Tl-201	167.1	10.16	3	1	2	0.107970244	3.953307393	1														
Y-88	898	93.7	1	1	2	1	1.004287245															
Y-88	1836	93.3	2	1	2	0.995731057	1															
Zn-65	511	2.84	1	0	1	1	0.056126482															
Zn-65	1115.5	50.6	2	1	1	17.81690141	1															
